time,XCO2,site,lat,lon
2017-03-31,406.6067,Burgos,18.530000686645508,120.6500015258789
2017-04-30,407.28082,Burgos,18.530000686645508,120.6500015258789
2017-05-31,408.23398,Burgos,18.530000686645508,120.6500015258789
2017-06-30,407.57108,Burgos,18.530000686645508,120.6500015258789
2017-07-31,405.75797,Burgos,18.530000686645508,120.6500015258789
2017-08-31,404.74597,Burgos,18.530000686645508,120.6500015258789
2017-09-30,403.39746,Burgos,18.530000686645508,120.6500015258789
2017-10-31,403.17926,Burgos,18.530000686645508,120.6500015258789
2017-11-30,405.07025,Burgos,18.530000686645508,120.6500015258789
2017-12-31,406.5325,Burgos,18.530000686645508,120.6500015258789
2018-01-31,407.25742,Burgos,18.530000686645508,120.6500015258789
2018-02-28,407.9167,Burgos,18.530000686645508,120.6500015258789
2018-03-31,408.6428,Burgos,18.530000686645508,120.6500015258789
2018-04-30,409.66858,Burgos,18.530000686645508,120.6500015258789
2018-05-31,410.59192,Burgos,18.530000686645508,120.6500015258789
2018-06-30,408.94812,Burgos,18.530000686645508,120.6500015258789
2018-07-31,407.6902,Burgos,18.530000686645508,120.6500015258789
2018-08-31,406.22995,Burgos,18.530000686645508,120.6500015258789
2018-09-30,405.66583,Burgos,18.530000686645508,120.6500015258789
2018-10-31,406.47272,Burgos,18.530000686645508,120.6500015258789
2018-11-30,407.26093,Burgos,18.530000686645508,120.6500015258789
2018-12-31,408.6336,Burgos,18.530000686645508,120.6500015258789
2019-01-31,409.48837,Burgos,18.530000686645508,120.6500015258789
2019-02-28,409.39914,Burgos,18.530000686645508,120.6500015258789
2019-03-31,410.50446,Burgos,18.530000686645508,120.6500015258789
2019-04-30,412.17203,Burgos,18.530000686645508,120.6500015258789
2019-05-31,413.2053,Burgos,18.530000686645508,120.6500015258789
2019-06-30,413.01022,Burgos,18.530000686645508,120.6500015258789
2019-07-31,410.95898,Burgos,18.530000686645508,120.6500015258789
2019-08-31,409.49408,Burgos,18.530000686645508,120.6500015258789
2019-09-30,,Burgos,18.530000686645508,120.6500015258789
2019-10-31,,Burgos,18.530000686645508,120.6500015258789
2019-11-30,410.41663,Burgos,18.530000686645508,120.6500015258789
2019-12-31,411.18506,Burgos,18.530000686645508,120.6500015258789
2020-01-31,412.28946,Burgos,18.530000686645508,120.6500015258789
2020-02-29,412.49475,Burgos,18.530000686645508,120.6500015258789
2020-03-31,413.37198,Burgos,18.530000686645508,120.6500015258789
2020-04-30,415.06357,Burgos,18.530000686645508,120.6500015258789
2020-05-31,415.63705,Burgos,18.530000686645508,120.6500015258789
2020-06-30,415.41483,Burgos,18.530000686645508,120.6500015258789
2020-07-31,414.2157,Burgos,18.530000686645508,120.6500015258789
2020-08-31,412.01172,Burgos,18.530000686645508,120.6500015258789
2020-09-30,411.15216,Burgos,18.530000686645508,120.6500015258789
2020-10-31,411.19324,Burgos,18.530000686645508,120.6500015258789
2020-11-30,412.79306,Burgos,18.530000686645508,120.6500015258789
2020-12-31,412.7782,Burgos,18.530000686645508,120.6500015258789
2021-01-31,415.79788,Burgos,18.530000686645508,120.6500015258789
2021-02-28,414.81372,Burgos,18.530000686645508,120.6500015258789
2021-03-31,415.5169,Burgos,18.530000686645508,120.6500015258789
2021-04-30,417.59933,Burgos,18.530000686645508,120.6500015258789
2021-05-31,418.51987,Burgos,18.530000686645508,120.6500015258789
2021-06-30,417.1112,Burgos,18.530000686645508,120.6500015258789
2021-07-31,416.67307,Burgos,18.530000686645508,120.6500015258789
2021-08-31,414.142,Burgos,18.530000686645508,120.6500015258789
2021-09-30,,Burgos,18.530000686645508,120.6500015258789
2021-10-31,,Burgos,18.530000686645508,120.6500015258789
2021-11-30,,Burgos,18.530000686645508,120.6500015258789
2021-12-31,,Burgos,18.530000686645508,120.6500015258789
2022-01-31,,Burgos,18.530000686645508,120.6500015258789
2022-02-28,,Burgos,18.530000686645508,120.6500015258789
2022-03-31,,Burgos,18.530000686645508,120.6500015258789
2022-04-30,,Burgos,18.530000686645508,120.6500015258789
2022-05-31,,Burgos,18.530000686645508,120.6500015258789
2022-06-30,,Burgos,18.530000686645508,120.6500015258789
2022-07-31,,Burgos,18.530000686645508,120.6500015258789
2022-08-31,,Burgos,18.530000686645508,120.6500015258789
2022-09-30,,Burgos,18.530000686645508,120.6500015258789
2022-10-31,,Burgos,18.530000686645508,120.6500015258789
2022-11-30,416.59546,Burgos,18.530000686645508,120.6500015258789
2022-12-31,417.52032,Burgos,18.530000686645508,120.6500015258789
2023-01-31,418.45786,Burgos,18.530000686645508,120.6500015258789
2023-02-28,418.65588,Burgos,18.530000686645508,120.6500015258789
2023-03-31,419.63376,Burgos,18.530000686645508,120.6500015258789
2023-04-30,421.38315,Burgos,18.530000686645508,120.6500015258789
2023-05-31,421.26303,Burgos,18.530000686645508,120.6500015258789
2023-06-30,421.7495,Burgos,18.530000686645508,120.6500015258789
2023-07-31,420.75238,Burgos,18.530000686645508,120.6500015258789
2023-08-31,,Burgos,18.530000686645508,120.6500015258789
2023-09-30,,Burgos,18.530000686645508,120.6500015258789
2023-10-31,,Burgos,18.530000686645508,120.6500015258789
2023-11-30,419.9458,Burgos,18.530000686645508,120.6500015258789
2023-12-31,420.25223,Burgos,18.530000686645508,120.6500015258789
