time,XCO2,site,lat,lon
2015-11-30,400.6335,Hefei,31.899999618530273,117.16999816894531
2015-12-31,403.2579,Hefei,31.899999618530273,117.16999816894531
2016-01-31,403.61893,Hefei,31.899999618530273,117.16999816894531
2016-02-29,405.12463,Hefei,31.899999618530273,117.16999816894531
2016-03-31,406.0609,Hefei,31.899999618530273,117.16999816894531
2016-04-30,406.56247,Hefei,31.899999618530273,117.16999816894531
2016-05-31,405.57333,Hefei,31.899999618530273,117.16999816894531
2016-06-30,402.54547,Hefei,31.899999618530273,117.16999816894531
2016-07-31,401.81006,Hefei,31.899999618530273,117.16999816894531
2016-08-31,400.4995,Hefei,31.899999618530273,117.16999816894531
2016-09-30,401.2456,Hefei,31.899999618530273,117.16999816894531
2016-10-31,,Hefei,31.899999618530273,117.16999816894531
2016-11-30,404.2269,Hefei,31.899999618530273,117.16999816894531
2016-12-31,406.5808,Hefei,31.899999618530273,117.16999816894531
2017-01-31,406.81302,Hefei,31.899999618530273,117.16999816894531
2017-02-28,407.59546,Hefei,31.899999618530273,117.16999816894531
2017-03-31,408.30606,Hefei,31.899999618530273,117.16999816894531
2017-04-30,408.73828,Hefei,31.899999618530273,117.16999816894531
2017-05-31,407.37665,Hefei,31.899999618530273,117.16999816894531
2017-06-30,405.8782,Hefei,31.899999618530273,117.16999816894531
2017-07-31,405.0931,Hefei,31.899999618530273,117.16999816894531
2017-08-31,402.73035,Hefei,31.899999618530273,117.16999816894531
2017-09-30,402.0271,Hefei,31.899999618530273,117.16999816894531
2017-10-31,405.9997,Hefei,31.899999618530273,117.16999816894531
2017-11-30,405.97827,Hefei,31.899999618530273,117.16999816894531
2017-12-31,408.70526,Hefei,31.899999618530273,117.16999816894531
2018-01-31,409.56543,Hefei,31.899999618530273,117.16999816894531
2018-02-28,409.1643,Hefei,31.899999618530273,117.16999816894531
2018-03-31,409.93225,Hefei,31.899999618530273,117.16999816894531
2018-04-30,409.69568,Hefei,31.899999618530273,117.16999816894531
2018-05-31,,Hefei,31.899999618530273,117.16999816894531
2018-06-30,407.13806,Hefei,31.899999618530273,117.16999816894531
2018-07-31,409.18,Hefei,31.899999618530273,117.16999816894531
2018-08-31,,Hefei,31.899999618530273,117.16999816894531
2018-09-30,404.68332,Hefei,31.899999618530273,117.16999816894531
2018-10-31,408.14682,Hefei,31.899999618530273,117.16999816894531
2018-11-30,409.98383,Hefei,31.899999618530273,117.16999816894531
2018-12-31,410.43274,Hefei,31.899999618530273,117.16999816894531
2019-01-31,411.211,Hefei,31.899999618530273,117.16999816894531
2019-02-28,,Hefei,31.899999618530273,117.16999816894531
2019-03-31,413.71658,Hefei,31.899999618530273,117.16999816894531
2019-04-30,413.6185,Hefei,31.899999618530273,117.16999816894531
2019-05-31,412.66937,Hefei,31.899999618530273,117.16999816894531
2019-06-30,411.0906,Hefei,31.899999618530273,117.16999816894531
2019-07-31,409.18213,Hefei,31.899999618530273,117.16999816894531
2019-08-31,,Hefei,31.899999618530273,117.16999816894531
2019-09-30,407.63867,Hefei,31.899999618530273,117.16999816894531
2019-10-31,410.45425,Hefei,31.899999618530273,117.16999816894531
2019-11-30,412.23212,Hefei,31.899999618530273,117.16999816894531
2019-12-31,410.23862,Hefei,31.899999618530273,117.16999816894531
2020-01-31,,Hefei,31.899999618530273,117.16999816894531
2020-02-29,414.38437,Hefei,31.899999618530273,117.16999816894531
2020-03-31,414.986,Hefei,31.899999618530273,117.16999816894531
2020-04-30,415.24594,Hefei,31.899999618530273,117.16999816894531
2020-05-31,415.6531,Hefei,31.899999618530273,117.16999816894531
2020-06-30,,Hefei,31.899999618530273,117.16999816894531
2020-07-31,,Hefei,31.899999618530273,117.16999816894531
2020-08-31,411.96152,Hefei,31.899999618530273,117.16999816894531
2020-09-30,410.83145,Hefei,31.899999618530273,117.16999816894531
2020-10-31,412.87186,Hefei,31.899999618530273,117.16999816894531
2020-11-30,415.006,Hefei,31.899999618530273,117.16999816894531
