time,Whole Area,South China,Indochina,Malay Archipelago
2014-10-31,396.3203430175781,396.0981140136719,395.75262451171875,396.85894775390625
2014-11-30,397.2632751464844,398.4141845703125,397.5483703613281,397.3567810058594
2014-12-31,398.0299377441406,398.84710693359375,398.5823059082031,397.81134033203125
2015-01-31,398.8465576171875,399.6883544921875,398.9860534667969,399.0683898925781
2015-02-28,399.67486572265625,400.8628234863281,399.72222900390625,399.7606201171875
2015-03-31,399.96612548828125,401.6162414550781,400.37640380859375,399.7651062011719
2015-04-30,400.36151123046875,402.27691650390625,401.5466003417969,399.8796081542969
2015-05-31,400.6253967285156,402.6513977050781,402.26336669921875,399.82635498046875
2015-06-30,400.6419982910156,402.379150390625,401.8965148925781,400.0191650390625
2015-07-31,399.6296691894531,398.96844482421875,399.74859619140625,399.86578369140625
2015-08-31,398.951904296875,398.02685546875,398.794189453125,399.7364501953125
2015-09-30,398.5490417480469,397.6111755371094,398.18438720703125,400.06878662109375
2015-10-31,398.72454833984375,398.0000305175781,397.7035217285156,399.8155822753906
2015-11-30,399.8235778808594,400.2471923828125,399.63330078125,400.2757873535156
2015-12-31,400.90460205078125,402.4010925292969,401.0937194824219,401.1810302734375
2016-01-31,401.97772216796875,403.8728942871094,402.01654052734375,402.2102966308594
2016-02-29,402.39630126953125,403.4233703613281,402.6334533691406,402.56036376953125
2016-03-31,403.3030700683594,405.0794677734375,403.8022155761719,403.1087341308594
2016-04-30,404.1606140136719,405.7470703125,405.2900695800781,403.7656555175781
2016-05-31,404.6341857910156,406.2779846191406,405.9841003417969,404.11688232421875
2016-06-30,404.3979187011719,405.6324157714844,405.4392395019531,403.85711669921875
2016-07-31,403.49542236328125,403.72320556640625,403.70391845703125,403.54132080078125
2016-08-31,402.5127868652344,402.355712890625,402.4504699707031,403.04937744140625
2016-09-30,401.7481689453125,400.49102783203125,401.22808837890625,402.6044921875
2016-10-31,401.82012939453125,402.0714111328125,401.684326171875,402.2456359863281
2016-11-30,402.8260498046875,403.68157958984375,403.4573059082031,402.9322509765625
2016-12-31,403.69683837890625,404.9447326660156,404.4348449707031,403.3028564453125
2017-01-31,404.6417541503906,406.3649597167969,405.4274597167969,404.126220703125
2017-02-28,405.1960754394531,405.94171142578125,405.462646484375,405.4236755371094
2017-03-31,405.65728759765625,407.28204345703125,406.1164855957031,405.19451904296875
2017-04-30,406.2250061035156,408.4078674316406,407.1666259765625,405.70208740234375
2017-05-31,406.3660583496094,407.88909912109375,407.4254455566406,405.6920471191406
2017-06-30,406.1945495605469,407.5434875488281,407.42279052734375,405.5858459472656
2017-07-31,405.5674743652344,406.17791748046875,406.02032470703125,405.33709716796875
2017-08-31,405.0233154296875,405.3078308105469,404.700927734375,405.12451171875
2017-09-30,404.2604064941406,404.3609924316406,403.6922607421875,404.5614013671875
2017-10-31,404.12969970703125,404.30072021484375,403.868408203125,404.6378479003906
2017-11-30,405.0122985839844,405.73480224609375,405.5605163574219,405.04107666015625
2017-12-31,405.96856689453125,407.1161804199219,406.5378112792969,405.90875244140625
2018-01-31,406.5551452636719,407.900390625,406.7226867675781,406.3669738769531
2018-02-28,407.2829895019531,408.56585693359375,407.2892150878906,407.57586669921875
2018-03-31,408.03033447265625,409.63348388671875,408.2881164550781,407.8981018066406
2018-04-30,408.5329895019531,410.3509826660156,409.44635009765625,408.0328063964844
2018-05-31,408.467529296875,410.0343322753906,409.8700256347656,407.63360595703125
2018-06-30,408.1329040527344,409.6461181640625,409.6873779296875,407.2520751953125
2018-07-31,407.4119567871094,408.38250732421875,407.9146423339844,407.0815734863281
2018-08-31,406.72918701171875,407.1289367675781,406.60089111328125,407.0362854003906
2018-09-30,406.0841979980469,405.64385986328125,405.4709167480469,406.91802978515625
2018-10-31,406.33941650390625,406.358154296875,405.94635009765625,407.1230773925781
2018-11-30,407.18109130859375,408.1515808105469,407.23016357421875,407.53253173828125
2018-12-31,408.3001403808594,410.410400390625,409.03424072265625,407.9111633300781
2019-01-31,409.5814514160156,411.9364318847656,410.14862060546875,409.24725341796875
2019-02-28,409.8359375,411.3406677246094,409.8983154296875,409.7408447265625
2019-03-31,410.1685485839844,411.91650390625,410.2680358886719,410.0179748535156
2019-04-30,410.766845703125,412.63128662109375,411.4088439941406,410.4808349609375
2019-05-31,411.1493835449219,412.9813232421875,412.5294189453125,410.3933410644531
2019-06-30,411.17376708984375,412.8455505371094,412.59765625,410.4677429199219
2019-07-31,410.5005798339844,410.922119140625,411.14959716796875,410.4361877441406
2019-08-31,409.6556396484375,409.01397705078125,409.6148376464844,409.99224853515625
2019-09-30,409.06884765625,408.4180603027344,408.3916931152344,409.9200744628906
2019-10-31,409.003662109375,409.4388732910156,408.7442932128906,409.3685302734375
2019-11-30,409.9454040527344,410.7261047363281,410.1883850097656,410.2401428222656
2019-12-31,410.9375305175781,412.0237121582031,411.1161193847656,410.9139099121094
2020-01-31,411.8837890625,413.769287109375,411.7310791015625,411.8453063964844
2020-02-29,412.5270690917969,413.4237060546875,412.1963806152344,412.85992431640625
2020-03-31,412.8646240234375,414.6282958984375,413.1040954589844,412.78271484375
2020-04-30,413.4716491699219,415.4512939453125,414.47283935546875,412.9544677734375
2020-05-31,413.8692626953125,415.8128662109375,415.6585388183594,413.288330078125
2020-06-30,413.6328125,414.8907470703125,414.7622375488281,412.9862060546875
2020-07-31,412.8743896484375,413.2914123535156,413.3476257324219,412.5888366699219
2020-08-31,412.0464782714844,412.0171813964844,411.8830261230469,412.356201171875
2020-09-30,411.4393005371094,411.038818359375,410.77490234375,412.09356689453125
2020-10-31,411.65740966796875,412.54095458984375,411.8876647949219,412.0589599609375
2020-11-30,412.5077209472656,413.8363342285156,413.0835876464844,412.3587646484375
