time,Whole Area,South China,Indochina,Malay Archipelago
2014-10-31,396.6657733067578,396.4129740521754,395.98813394155394,397.22962967661636
2014-11-30,397.86183251967407,399.3437891076462,397.84852734616516,397.80042231055734
2014-12-31,398.6566392337311,399.45503292944073,398.68461519443554,398.20036550169675
2015-01-31,399.432309763899,400.56512583287764,399.3933679069075,399.2692771495719
2015-02-28,400.09521030342125,401.5939437743664,400.08309036795686,399.85088610057556
2015-03-31,400.36150596934294,402.3866270722097,400.5676571728635,399.69989046749583
2015-04-30,400.92187009273306,402.9693971956189,401.8230934132285,399.8708239930597
2015-05-31,400.9780764307089,402.42152172059804,401.88718960296916,399.7565466883894
2015-06-30,400.9339658270069,401.95269771127346,401.4862567315246,400.02524330998125
2015-07-31,399.5550555622644,398.1978892390819,399.112468853469,399.6769465080693
2015-08-31,399.1606050900308,397.5254653079916,398.63294857589057,399.76906048568634
2015-09-30,398.8873488777385,397.6029470433883,398.1124277200449,400.54765350126735
2015-10-31,399.26199867628986,398.5431111352945,397.4902446185207,400.24413065169523
2015-11-30,400.1923553510588,401.0155749064252,399.7112581404004,400.29194034903475
2015-12-31,401.4911035766699,403.34575366126285,401.59165868601434,401.19623462752105
2016-01-31,402.5761735803513,404.66620516308126,402.469023803978,402.2756916809905
2016-02-29,403.0426636992814,404.2611845288216,403.2051701989865,402.88036364880446
2016-03-31,404.1060218805606,405.9737865072231,404.5826969778012,403.65760616879055
2016-04-30,404.87212264394725,406.5995852543477,405.9391682011166,404.3601849722538
2016-05-31,405.099828305464,406.12626929646257,406.2084672218492,404.4378006665379
2016-06-30,404.40578754053104,405.0462728505155,404.9406839268122,403.7572669866359
2016-07-31,403.2279985722849,402.8656801762386,403.0046657379694,403.24389570175356
2016-08-31,402.14179636545674,401.4139427955792,401.71086863256033,402.593364915158
2016-09-30,401.7220855692457,400.1388249661915,400.58457287357794,402.395543501656
2016-10-31,402.0399503740666,402.44546113017674,401.26134925548604,402.1967249784612
2016-11-30,403.4878970805739,404.6142748419969,403.75058698108865,403.45531577365256
2016-12-31,404.4127337292127,405.64259127779087,404.73460808388984,404.01440097475336
2017-01-31,405.2635334067602,407.2313802840755,405.71503204445753,404.6409414913396
2017-02-28,405.63826161280275,406.48757686641136,405.4876736220582,405.6572858781296
2017-03-31,406.12609724475266,408.1000185941005,406.46260931754125,405.20655475150147
2017-04-30,406.76905868348274,408.97676933869747,407.78781103197474,405.70170421762265
2017-05-31,406.6035486415317,407.0345447478257,407.2319220238037,405.67304910025604
2017-06-30,406.2646637679274,406.8619375827114,407.0801138128082,405.5017084698044
2017-07-31,405.36952242114626,405.45655949968807,405.32866136988827,405.02281974912444
2017-08-31,404.6668381874815,404.3278982931704,404.14948794680953,404.68726561239964
2017-09-30,404.32298386636575,403.85697405164876,403.5203900753059,404.4991329930152
2017-10-31,404.5970772188503,404.69137766401514,403.78794297907234,405.00540334355685
2017-11-30,405.7525874967921,406.6274561670335,405.89867057595734,405.62211465774476
2017-12-31,406.75061164158757,408.0346747250492,407.1932987509876,406.44995054715076
2018-01-31,407.2609268375273,408.69982077689264,406.9582769476934,406.8449236812581
2018-02-28,407.8956519157201,409.335324590698,407.6967266889345,407.9498261574141
2018-03-31,408.60822041550745,410.2428388925406,408.9689109962767,408.24464108570504
2018-04-30,409.08652259660397,410.68609056175484,409.69033287617987,408.237945646818
